pos_id,battle_id,unit_id,phase_index,phase_label,lat,lng,facing,strength_estimated,action,confidence,coord_confidence,source_ids
P001,bat_001,unit_003,1,Initial deployment,34.4580,-78.1110,E,800,Camped west bank; fires burning; preparing to withdraw after midnight,Medium,Approximate,src_moore_aar|src_revolutionarywar_us
P002,bat_001,unit_004,1,Initial deployment,34.4582,-78.1082,W,150,"Constructing earthworks on slightly elevated knoll east bank; NPS archaeology confirms earthworks exactly on original position; roughly 4ft high, 7ft wide, 2ft ditch outside",High,Confirmed — NPS archaeology,src_amrevnc|src_ncpedia_mocr|src_moore_aar
P003,bat_001,unit_005,1,Initial deployment,34.4584,-78.1075,W,100,"Flanking position east bank alongside Lillington; New Hanover Volunteer Company of Rangers; Caswell's report grouped Ashe's men with Lillington's, causing undercount in early sources",Medium,Approximate,src_wikipedia_mocr|src_fandom_wiki
P004,bat_001,unit_002,1,Initial deployment,34.5000,-78.1600,SE,700,Camped approximately 6 miles northwest near modern Atkinson NC; MacDonald ill and relinquishing command to MacLeod; council of war deciding to attack at dawn,Low,Inferred,src_amrevnc|src_revolutionarywar_us
P005,bat_001,unit_003,2,Bridge prepared — Caswell withdraws,34.4582,-78.1083,W,800,Withdrew across bridge to east bank after midnight; left campfires burning as deception; tore up bridge planks from beneath; smeared remaining log stringers with soap and animal fat; joined Lillington's position,High,Approximate,src_amrevnc|src_moore_aar|src_allthingsliberty
P006,bat_001,unit_006,2,Bridge prepared — Caswell withdraws,34.4583,-78.1080,W,,Mother Covington (3-pounder) and daughter (half-pounder) positioned behind earthworks in direct line with bridge; additional 6 or 9-pounders per NPS park historians; several pieces loaded with swanshot — tin canisters spreading approximately 20 small bullets on impact,Medium,Approximate,src_amrevnc|src_nps_mocr
P007,bat_001,unit_002,2,Bridge prepared — Caswell withdraws,34.4900,-78.1550,SE,700,Column marching toward bridge at 1am; forming into two wings on approach road; Felix Kenan (ind_014) deserted Loyalist camp to warn Patriots of dawn attack,Medium,Inferred,src_wikipedia_mocr|src_amrevnc
P008,bat_001,unit_007,3,Loyalist arrival at west bank,34.4580,-78.1105,E,400,Advanced toward bridge; found Caswell's camp empty with fires still burning; believed Patriots in retreat; courier had earlier scouted Patriot position at midnight posing as flag-of-truce messenger,Medium,Inferred,src_amrevnc
P009,bat_001,unit_008,3,Loyalist arrival at west bank,34.4588,-78.1120,,300,Saw empty Patriot camp with fires burning; fell back into woods to consult MacDonald; did NOT participate in charge; as AmRevNC notes — literally the right hand did not know what the left hand was doing; no communication possible between wings,Medium,Inferred,src_amrevnc
P010,bat_001,unit_009,3,Loyalist arrival at west bank,34.4579,-78.1095,E,75,Advance company of picked broadswordsmen reached west side of bridge; challenge exchange in Gaelic between Patriot sentry and Capt. Alexander McLean; sentry fired warning shot; MacLeod ordered charge,High,Confirmed — bridge location,src_wikipedia_mocr|src_revolutionarywar_us|src_rankin_1953
P011,bat_001,unit_009,4,The charge,34.4579,-78.1090,E,75,Charged across greased bridge stringers; forced to cross in single file on slippery logs; yelled 'King George and Broadswords'; Campbell killed at or near east bank; some fell into creek approximately 6ft deep,High,Confirmed — bridge location,src_wikipedia_mocr|src_moore_aar|src_ncpedia_mocr
P012,bat_001,unit_010,4,The charge,34.4579,-78.1092,E,1,MacLeod led charge with Campbell; KIA on bridge. Source discrepancy on wound count: Moore AAR — 'upwards of twenty balls'; NCpedia — 9 bullets and 24 swan shot; Wikipedia — 20 musket balls. All accounts agree on death at bridge.,High,Confirmed — bridge location,src_moore_aar|src_ncpedia_mocr|src_wikipedia_mocr
P013,bat_001,unit_011,4,The charge,34.4582,-78.1082,W,950,Held fire until Loyalists within approximately 30 paces; opened with muskets and artillery simultaneously; swanshot devastating to column forced into single file on bridge; battle lasted approximately 3 minutes,High,Confirmed — NPS archaeology,src_wikipedia_mocr|src_amrevnc|src_moore_aar
P014,bat_001,unit_006,4,The charge,34.4583,-78.1080,W,,Fired at approximately 30 paces into column; swanshot from Mother Covington and daughter; additional pieces firing; devastating to Loyalists forced into single file crossing,High,Approximate,src_amrevnc|src_ncpedia_mocr
P015,bat_001,unit_002,5,Collapse and pursuit,34.4590,-78.1120,NW,650,"Column collapsed and retreated northwest; MacDonald captured next day in his tent; approximately 850 total prisoners taken in following days including weapons, wagon train, and £15,000 sterling; Patriot casualties: 1 killed, 1 wounded",High,Approximate,src_moore_aar|src_wikipedia_mocr
P016,bat_001,unit_012,5,Collapse and pursuit,34.4580,-78.1100,W,800,Patriots replaced bridge planks and crossed in pursuit of retreating Loyalists; Colonel Moore arrived on scene a few hours after the battle,High,Approximate,src_wikipedia_mocr|src_moore_aar
P017,bat_001,unit_013,5,Collapse and pursuit,34.4592,-78.1085,W,100,One company led by one of Caswell's lieutenants forded creek above bridge to flank retreating Loyalists; officer unnamed in all sources consulted,Medium,Inferred,src_wikipedia_mocr
