unit_id,name,affiliation,parent_unit,active_from,active_to,source_ids,notes
unit_001,Cumberland County Militia Regiment,Patriot Militia,,1775,,src_006,"Appointed by NC Provincial Congress, September 9, 1775. Active through end of war."
unit_002,Highland Loyalist Column,Loyalist Militia,,1776,1776,src_001|src_002|src_moore_aar,"Assembled Cross Creek, January–February 1776. Approximately 1,500 at muster, reduced to ~700–800 by time of battle. Commanded nominally by BG Donald MacDonald (ill); effective command passed to LTC Donald MacLeod before the battle. Disbanded and largely captured after Moore's Creek Bridge."
unit_003,Caswell's NC Minutemen,Patriot Militia,,1776,1776,src_moore_aar|src_amrevnc,"Colonel Richard Caswell commanding. Approximately 800 men. Occupied west bank camp, withdrew across bridge before dawn February 27, participated in defense of east bank earthworks and subsequent pursuit."
unit_004,Lillington's Wilmington Minutemen,Patriot Militia,,1776,1776,src_moore_aar|src_amrevnc|src_ncpedia_mocr,"Colonel Alexander Lillington commanding. Approximately 150 men. Constructed and held the east bank earthworks. NPS archaeology confirms earthworks exactly on original position: roughly 4ft high, 7ft wide, 2ft ditch outside."
unit_005,Ashe's New Hanover Rangers,Patriot Volunteer,,1776,1776,src_wikipedia_mocr|src_fandom_wiki,"Captain John Ashe commanding. Approximately 100 men. New Hanover Volunteer Company of Rangers. Caswell's report grouped Ashe's men with Lillington's force, causing undercounts in some early sources."
unit_006,Patriot Combined Artillery,Patriot Militia,unit_003,1776,1776,src_amrevnc|src_nps_mocr,Mother Covington (3-pounder) and daughter (half-pounder) positioned behind earthworks. Additional 6 or 9-pounders per NPS park historians. Several pieces loaded with swanshot — tin canisters spreading approximately 20 small bullets on impact.
unit_007,Loyalist Right Wing,Loyalist Militia,unit_002,1776,1776,src_amrevnc,Approximately 400 men. Advanced toward bridge; found Caswell's camp empty with fires still burning; believed Patriots in retreat. A flag-of-truce messenger had earlier scouted Patriot position at midnight.
unit_008,Loyalist Left Wing,Loyalist Militia,unit_002,1776,1776,src_amrevnc,Approximately 300 men. Saw empty Patriot camp with fires burning; fell back into woods to consult MacDonald; did NOT participate in the charge. As AmRevNC notes: literally the right hand did not know what the left hand was doing.
unit_009,Campbell's Highland Advance Company,Loyalist Militia,unit_002,1776,1776,src_moore_aar|src_wikipedia_mocr|src_rankin_1953,"Captain John Campbell commanding. Approximately 75 picked broadswordsmen. Led charge across dismantled, greased bridge stringers. Yelled 'King George and Broadswords.' Campbell killed at or near east bank."
unit_010,MacLeod's Command,Loyalist Militia,unit_002,1776,1776,src_moore_aar|src_ncpedia_mocr,LTC Donald MacLeod commanding. Led charge with Campbell. KIA on bridge. Sources disagree on wound count: Moore AAR says 'upwards of twenty balls'; NCpedia says 9 bullets and 24 swan shot; Wikipedia says 20 musket balls.
unit_011,Patriot Combined Force — Earthworks,Patriot Militia,,1776,1776,src_moore_aar|src_amrevnc|src_wikipedia_mocr,Combined Caswell and Lillington forces holding east bank earthworks during the action. Approximately 950 total. Held fire until Loyalists within approximately 30 paces; opened with muskets and artillery simultaneously. Battle lasted approximately 3 minutes.
unit_012,Patriot Pursuit — Main,Patriot Militia,unit_003,1776,1776,src_wikipedia_mocr|src_moore_aar,Patriots replaced bridge planks and crossed in pursuit of retreating Loyalists. Colonel Moore arrived on scene a few hours after the battle.
unit_013,Patriot Pursuit — Flanking Company,Patriot Militia,unit_003,1776,1776,src_wikipedia_mocr,One company led by one of Caswell's lieutenants. Forded creek above bridge to flank retreating Loyalists. Officer unnamed in all sources consulted.
